,project,address,address_edit,city,state,zip,contact_name,phone,company,contact_address,x0_bedroom,x1_bedroom,x2_bedroom,x3_bedroom,x4_bedroom,file,lat,long
93,CLAYMONT STREET APARTMENTS (2013),1300 EAST 16TH AND CLAYMONT ST,1300 16TH ST #302,WILMINGTON,DE,19802,L.P. CLAYMONT STREET APTS,302-442-6622,"CONNECTIONS CSP, INC","3821 LANCASTER PIKE ATT: CATHERINE MCKAY
WILMINGTON, DE 19805",0,0,18,11,0,lihtc,39.7443,-75.53053
94,SAFE HAVEN,820-822 WEST STREET,820-822 WEST STREET,WILMINGTON,DE,19801,LP SAFE HAVEN,302-442-6622,CONNECTIONS CSP INC,"3821 LANCASTER PIKE
WILMINGTON, DE 19805",10,0,0,0,0,lihtc,39.74496,-75.55208
95,MARCELLA'S / JUDY'S HOUSE,901-903 WASHINGTON STREET,901-903 WASHINGTON STREET,WILMINGTON,DE,19801,LP MARCELLA'S HOUSE,302-442-6622,Null,"3821 LANCASTER PIKE
WILMINGTON, DE 19805",31,0,0,0,0,lihtc,39.746372,-75.55235
96,LOFTS AT CLIFFORD BROWN WALK,1320 CLIFFORD BROWN WALK,1320 CLIFFORD BROWN WALK,WILMINGTON,DE,19801,LLC 1320 CBW,Null,JONATHAN LITT,"225 ROUTE 303N, SUITE 201
CONGERS, NY 10920",0,0,0,0,0,lihtc,39.746773,-75.54189
97,CENTRAL YMCA,501 W. 11TH STREET,501 W. 11TH STREET,WILMINGTON,DE,19801,LLC YMCA CENTRAL BRANCH,302-571-6907,YMCA OF DELAWARE INC,"100 WEST 10TH ST, SUITE 1100
WILMINGTON, DE 19801",0,0,0,0,0,lihtc,39.748096,-75.55122
98,VILLAGE OF EASTLAKE,2412 THATCHER STREET,2412 THATCHER STREET,WILMINGTON,DE,19801,LLC. EASTLAKE APARTMENTS,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,20,51,0,lihtc,39.74909,-75.530304
99,"THE FLATS, PHASE I",525 NORTH UNION STREET,525 NORTH UNION STREET,WILMINGTON,DE,19805,LP FLATS PHASE I,302-655-6315,C/O THE TORMORDEN FOUNDATION,"100 WEST 10TH STREET SUITE 1104
WILMINGTON, DE 19805",0,0,0,0,0,lihtc,39.75022,-75.572365
100,RODNEY COURT,1100 PENNSYLVANIA AVENUE,1100 PENNSYLVANIA AVENUE,WILMINGTON,DE,19806,LP RODNEY COURT,856-662-1730,INGERMAN GROUP,"5 POWELL LANE
COLLINGSWOOD, NJ 8108",0,0,0,0,0,lihtc,39.752552,-75.55678
101,LINCOLN TOWERS,1800 N. DUPONT STREET,1800 N. DUPONT STREET,WILMINGTON,DE,19806,LLC LINCOLN TOWERS ASSOCIATES,856-596-3008,MILTON PRATT,"3 EAST STOW ROAD
MARLTON, NJ 8053",0,79,8,0,0,lihtc,39.758766,-75.56133
102,THE PARKVIEW,1800 NORTH BROOM STREET,1800 NORTH BROOM STREET,WILMINGTON,DE,19809,LP ELECTRA ARMS ASSOCIATES,302-429-6701,EUGENE RUDDER,"400 WALNUT STREET
WILMINGTON, DE 19809",0,200,0,0,0,lihtc,39.75992,-75.55019
103,RIVERVIEW PLACE APTS I,1 GOLDEN ACRES DR,1 GOLDEN ACRES DR,WILMINGTON,DE,19809,ANDREW LUBIN,215-557-9800,NEW DELVIEW PARTNERS LP,"1521 LOCUST ST
PHILADELPHIA, PA 19102-3727",0,24,47,0,0,lihtc,39.779606,-75.47953
104,RIVERVIEW PLACE II APARTMENTS,1 GOLDEN ACRES,1 GOLDEN ACRES,WILMINGTON,DE,19809,LP NEW DELVIEW PARTNERS,215-557-9800,NEW DELVIEW PARTNERS LP,"1521 LOCUST ST 4TH FLOOR
PHILADELPHIA, PA 19102",0,0,0,16,0,lihtc,39.779606,-75.47953
105,RIVERVIEW PLACE APARTMENTS,1 GOLDEN ACRES,1 GOLDEN ACRES,WILMINGTON,DE,19809,LP NEW DELVIEW PARTNERS,215-557-9800,ANDREW LUBIN,"1521 LOCUST STREET 4TH FLOOR
PHILADELPHIA, PA 19102",0,0,0,0,0,lihtc,39.779606,-75.47953
106,OVERLOOK COLONY,3207 BRANDYWINE AVE,3207 BRANDYWINE AVE,CLAYMONT,DE,19703,LP OVERLOOK COLONY,302-652-3991,DARLENE SAMPLE,"613 WASHINGTON STREET
WILMINGTON, DE 19801",0,0,0,0,0,lihtc,39.799694,-75.46307
107,STONEYBROOK APARTMENTS,1117 CEDARTREE COURT,1117 CEDARTREE COURT,CLAYMONT,DE,19703,LLC STONEYBROOK ASSOCIATES,Null,Null,"4 DENNY ROAD
WILMINGTON, DE 19809",0,0,26,119,0,lihtc,39.814075,-75.46026
108,WEST COURT APARTMENTS,3201- 3209 LANCASTER AVENUE & 3200-3208 W. 2ND STREET,3201 LANCASTER AVE #E0,WILMINGTON,DE,19805,L.P. WEST COURT,302-235-2500,DELAWARE VALLEY DEVELOPMENT CO,"726 YORKLYN ROAD SUITE 200
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,39.7524419493577,-75.5866920023594
109,ALDER CREEK,101 TERRACE DRIVE,101 TERRACE DR,NEWARK,DE,19711,BRAD INGERMAN,856-662-1730,INGERMAN MANAGEMENT CO,"3 POWELL LANE
COLLINGSWOOD, NJ 8100",0,0,0,0,0,lihtc,39.6878192165021,-75.7389947005162
110,MAIN TOWERS,330 E. MAIN STREET,330 E MAIN STREET,NEWARK,DE,19711,MAIN PRESERV,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,150,0,0,0,lihtc,39.6853794490558,-75.7398374023611
111,QUAKER VILLAGE APARTMENTS,225 WEST 4TH STREET,221 W 4TH STREET,WILMINGTON,DE,19801,LP QUAKER VILLAGE ASSOCIATES,302-571-5781,PETRUCON CONSTRUCTION FBP,"P.O. BOX 2593
WILMINGTON, DE 19805",0,3,38,3,0,lihtc,39.741774325561,-75.5530162005148
112,WALNUT STREET APARTMENTS AKA JAZZ COURT,313 E 14TH ST,313 E 14TH ST,WILMINGTON,DE,19801,LLC WALNUT STREET ASSOCIATES,Null,C/O MILTON PRATT,"3 EAST STOW ROAD SUITE 100
MARLTON, NJ 8053",0,0,26,17,0,lihtc,39.7480098619024,-75.5416361735246
113,CLAYTON COURT,502 N. DUPONT STREET,504 N DUPONT STREET,WILMINGTON,DE,19805,LP CLAYTON COURT PARTNERS,302-235-2500,GEORGE BEER,"726 YORKLYN ROAD, SUITE 200
HOCKESSIN, DE 19707",0,0,0,0,0,lihtc,39.7490914551964,-75.5687247042044
114,MADISON GARDENS,239 GARDEN COURT,239 GARDEN CT,WILMINGTON,DE,19801,LLC MADISON GARDENS,302-429-6701,KAREN SPELLMAN,"400 NORTH WALNUT STREET
WILMINGTON, DE 19801",0,0,0,18,0,lihtc,39.7431493693357,-75.5574592446896
115,NEW HOPE HOUSING II,134 S NEW STREET,30 S NEW STREET,DOVER,DE,19904,L.P. NEW STREET,215-557-8414,CECILIA LOOSE,"CFO MISSION FIRST HOUSING 2042-48 ARCH ST, 2ND FLOOR
PHILADELPHIA, PA 19103",0,0,0,0,0,lihtc,39.1601311985084,-75.5297922025253
116,DUNBARTON OAKS III,500 MARGARET STREET APT 1401,500 MARGARET STREET,GEORGETOWN,DE,19947,LLLP DUNBARTON ESTATE,410-269-0900,"ARTHUR EDWARDS, JR.","410 SEVERN AVENUE
ANNAPOLIS, MD 21403",0,12,20,0,0,lihtc,38.6921044567025,-75.3960469441105
117,DUNBARTON OAKS IV,500 MARGARET STREET APT #1401,500 MARGARET STREET,GEORGETOWN,DE,19947,LP DUNBARTON OAKS IV,410-269-0900,EDWARDS INVESTMENT COMPANY,"410 SEVERN AVENUE, SUITE B-413
ANNAPOLIS, MD 21403",0,31,0,0,0,lihtc,38.7265064031532,-75.4007674955229
118,MILTON LANDING,1000 PALMER STREET EXT.,1000 PALMER STREET EXT.,MILTON,DE,19968,MILTON LP,302-422-8255,MILFORD HOUSING DEV CORP,"977 EAST MASTEN CIRCLE
MILFORD, DE 19963",0,0,0,0,0,lihtc,38.8308866729922,-75.3073904928123
119,DELMAR CROSSING,600 MANGOLIA DRIVE,600 MANGOLIA DR #601,DELMAR,DE,19940,LP DELMAR CROSSING ASSOCIATES,302-764-9430,ARBOR MGMT,"4 DENNY ROAD
WILMINGTON, DE 19809",0,20,38,22,0,lihtc,38.45572890754,-75.5608312158882
120,LITTLE CREEK APARTMENTS,701 LITTLE CREEK DRIVE,701 LITTLE CREEK DR,LAUREL,DE,19956,LITTLE MCU,410-269-0900,LIMITED PARTNERSHIP,"410 SEVERN AVENUE, SUITE B413
ANNAPOLIS, MD 21403",0,15,49,8,0,lihtc,38.5560751387989,-75.5845004619055
